구분,1_가구수,1_활동1,1_활동2,1_활동3,1_활동4,1_활동5,1_활동6,1_활동7,1_활동8,1_활동9,1_활동10,1_기타,2_가구수,2_활동1,2_활동2,2_활동3,2_활동4,2_활동5,2_활동6,2_활동7,2_활동8,2_활동9,2_활동10,2_기타,3_가구수,3_활동1,3_활동2,3_활동3,3_활동4,3_활동5,3_활동6,3_활동7,3_활동8,3_활동9,3_활동10,3_기타
30대이하,166 ,34.2,29.3,3.8,0,0.5,13.4,18.8,0,0,0,0,163 ,19.2,28.1,18.2,2.2,9.0,19.6,2.8,0.2,0,0.6,0,166 ,53.0,56.9,21.7,2.2,9.4,32.6,21.6,0.2,0,0.6,0
40대,1503 ,24.8,21.6,5.5,1.5,1.5,21.7,22.6,0.2,0.1,0.1,0.3,1494 ,19.7,29.1,9.5,1.5,7.9,22.1,9.0,0.4,0.2,0.4,0.2,1503 ,44.4,50.5,14.9,3.0,9.4,43.7,31.6,0.6,0.3,0.5,0.5
50대이상,471 ,25.2,26.0,3.0,0.9,3.5,22.4,17.2,0.7,0.4,0,0.6,467 ,25.7,27.2,6.1,1.3,7.4,23.8,8.2,0,0,0,0.4,471 ,50.7,53.0,9.0,2.2,10.8,46.1,25.3,0.7,0.4,0,0.9
중졸이상,91 ,28.7,30.0,0,1.8,0.4,25.1,12.4,0.9,0,0,0.9,91 ,24.1,37.2,5.5,0.4,10.9,16.8,5.1,0,0,0,0,91 ,52.8,67.2,5.5,2.2,11.4,41.9,17.4,0.9,0,0,0.9
고졸이하,1362 ,27.4,25.5,4.7,1.0,2.1,19.6,18.4,0.3,0.3,0.1,0.4,1355 ,20.9,29.9,10.0,2.0,8.5,20.6,7.1,0.0,0.2,0.5,0.3,1362 ,48.2,55.2,14.7,3.0,10.6,40.1,25.5,0.4,0.5,0.6,0.7
대학이상,687 ,21.7,17.7,5.6,1.5,1.7,23.9,27.7,0.2,0,0,0.1,679 ,20.7,24.8,8.7,0.7,6.2,26.4,11.3,0.9,0.1,0,0.1,687 ,42.2,42.1,14.2,2.2,7.8,50.1,38.9,1.0,0.1,0,0.2
이혼,1762 ,25.7,24.6,5.1,1.2,2.0,21.0,19.5,0.3,0.2,0.1,0.4,1748 ,20.6,29.0,9.2,1.6,8.0,22.3,8.5,0.3,0.1,0.4,0.1,1762 ,46.1,53.4,14.2,2.8,9.9,43.1,28.0,0.7,0.2,0.4,0.5
사별,271 ,26.5,16.6,4.5,2.2,1.4,24.8,23.7,0.2,0.2,0,0,270 ,21.6,26.3,12.1,1.6,6.5,21.4,8.8,0.1,0.7,0.2,0.7,271 ,48.0,42.8,16.5,3.8,7.8,46.1,32.4,0.3,0.9,0.2,0.7
기타,107 ,22.4,16.8,1.3,0,1.4,16.1,41.3,0.6,0,0,0,107 ,25.6,27.1,6.3,0,10.0,25.2,4.8,0,0.4,0,0.7,107 ,47.8,43.7,7.6,0,11.4,41.1,46.1,0.6,0.4,0,0.7
모자,1174 ,27.6,24.1,4.3,1.0,1.9,21.8,18.4,0.2,0.1,0.1,0.4,1162 ,22.2,28.1,10.0,1.8,9.2,21.5,6.3,0.1,0.1,0.3,0.4,1174 ,49.6,51.8,14.2,2.8,11.0,43.1,24.6,0.3,0.3,0.4,0.8
