특성별,구분,사례수(가구),혼자 있는 시간 O,혼자 있는 시간 X,혼자 있는 가구수,1~3시간,4~6시간,7시간 이상,평균
한부모 연령별,30대 이하,416,41.3,58.7,171,76.8,22.0,1.2,2.6
한부모 연령별,40대,630,45.3,54.7,286,72.4,23.4,4.2,3.0
한부모 연령별,50대 이상,71,35.9,64.1,25,71.1,26.1,2.8,2.8
한부모 학력별,중졸 이상,41,44.1,55.9,18,89.5,6.4,4.1,2.4
한부모 학력별,고졸 이하,505,44.6,55.4,225,65.9,29.7,4.4,3.3
한부모 학력별,대학 이상,570,41.9,58.1,239,80.3,18.0,1.7,2.5
혼인 상태별,이혼,940,43.7,56.3,411,73.8,22.8,3.4,2.9
혼인 상태별,사별,111,41.3,58.7,46,76.4,22.1,1.5,2.7
혼인 상태별,기타,65,39.7,60.3,26,71.4,28.6,0,2.8
가구 구성별,모자,628,52.8,47.2,331,73.6,23.9,2.5,2.8
가구 구성별,모자+기타,143,10.8,89.2,15,60.4,29.3,10.3,3.7
가구 구성별,부자,222,55.0,45.0,122,78.3,20.4,1.3,2.7
가구 구성별,부자+기타,124,11.1,88.9,14,56.8,18.9,24.3,4.2
가장 어린 자녀별,미취학,78,28.9,71.1,22,89.9,10.1,0,2.2
가장 어린 자녀별,초등학생,1038,44.3,55.7,460,73.1,23.7,3.2,2.9
종사상 지위별,상용근로자,448,50.4,49.6,226,72.8,23.2,4.0,2.9
종사상 지위별,임시/일용근로자,295,55.5,44.5,164,74.7,23.3,2.0,2.9
종사상 지위별,자영업/무급가족,117,36.5,63.5,43,64.3,35.7,0,3.3
종사상 지위별,비취업,255,19.6,80.4,50,84.6,10.8,4.6,2.4
정부 지원 유형별,저소득지원가구,592,42.7,57.3,253,67.2,28.2,4.5,3.2
정부 지원 유형별,일반가구,524,43.8,56.2,230,81.3,17.3,1.4,2.5
소득 수준별,100만원 미만,30,25.3,74.7,8,63.5,14.9,21.7,4.0
소득 수준별,100만원 이상,405,39.1,60.9,158,69.6,26.2,4.2,3.0
소득 수준별,200만원 이상,396,57.0,43.0,226,76.1,21.8,2.1,2.8
소득 수준별,300만원 이상,285,31.8,68.2,91,77.0,21.2,1.8,2.7
한부모가된 기간별,5년 미만,311,41.2,58.8,128,77.0,19.3,3.7,2.8
한부모가된 기간별,5년 이상,605,45.8,54.2,277,73.7,23.3,2.9,2.9
한부모가된 기간별,10년 이상,201,38.5,61.5,77,69.5,28.1,2.4,2.9
