특성별,구분,사례수(가구),TV/라디오/음악/잡지/책,게임/컴퓨터,형제/친구와 놀기,가사돕기/가족돌봄,쉬거나 잠,숙제 등 공부,학원/과외,프로그램(수련관/복지관 등) 참여,아르바이트,동아리/봉사활동/종교활동 등,기타
한부모 연령별,30대 이하,166,53.0,56.9,21.7,2.2,9.4,32.6,21.6,0.2,0,0.6,0
한부모 연령별,40대,1503,44.4,50.5,14.9,3.0,9.4,43.7,31.6,0.6,0.3,0.5,0.5
한부모 연령별,50대 이상,471,50.7,53.0,9.0,2.2,10.8,46.1,25.3,0.7,0.4,0,0.9
한부모 학력별,중졸 이상,91,52.8,67.2,5.5,2.2,11.4,41.9,17.4,0.9,0,0,0.9
한부모 학력별,고졸 이하,1362,48.2,55.2,14.7,3.0,10.6,40.1,25.5,0.4,0.5,0.6,0.7
한부모 학력별,대학 이상,687,42.2,42.1,14.2,2.2,7.8,50.1,38.9,1.0,0.1,0,0.2
혼인 상태별,이혼,1762,46.1,53.4,14.2,2.8,9.9,43.1,28.0,0.7,0.2,0.4,0.5
혼인 상태별,사별,271,48.0,42.8,16.5,3.8,7.8,46.1,32.4,0.3,0.9,0.2,0.7
혼인 상태별,기타,107,47.8,43.7,7.6,0,11.4,41.1,46.1,0.6,0.4,0,0.7
가구 구성별,모자,1174,49.6,51.8,14.2,2.8,11.0,43.1,24.6,0.3,0.3,0.4,0.8
가구 구성별,모자+기타,264,36.6,47.9,18.8,0.9,11.2,49.1,33.6,0.8,0,1.2,0
가구 구성별,부자,473,50.3,51.5,13.9,4.1,6.4,41.5,29.3,1.0,0.8,0,0.5
가구 구성별,부자+기타,230,33.6,54.3,9.2,1.6,8.6,41.8,49.7,1.2,0,0,0
가장 어린 자녀별,미취학,23,43.0,25.5,16.4,9.0,11.4,51.9,29.5,0,0,13.2,0
가장 어린 자녀별,초등학생,260,47.9,46.5,25.1,3.1,9.5,36.7,26.8,2.0,0.2,0,0.4
가장 어린 자녀별,중학생 이상,1857,46.3,52.6,12.6,2.6,9.7,44.2,29.8,0.4,0.4,0.3,0.6
종사상 지위별,상용근로자,755,46.7,49.8,17.2,2.2,6.3,43.5,33.1,0.2,0.1,0.1,0.4
종사상 지위별,임시/일용근로자,594,51.7,56.1,12.9,3.2,10.0,39.4,22.8,0.4,0.4,0.7,0.9
종사상 지위별,자영업/무급가족,349,34.3,41.9,10.0,2.7,12.0,45.5,50.2,1.6,0.6,0.2,0.4
종사상 지위별,비취업,443,48.6,56.1,13.9,3.1,13.4,46.8,15.8,0.8,0.3,0.6,0.4
정부 지원 유형별,저소득지원가구,1237,48.9,53.7,14.3,3.2,11.6,43.4,21.9,0.4,0.3,0.6,0.7
정부 지원 유형별,일반가구,904,43.1,48.6,13.9,2.1,7.2,43.2,39.7,0.9,0.4,0.1,0.3
소득 수준별,100만원 미만,66,63.9,55.3,10.9,2.8,10.9,42.2,10.7,0,0,1.1,1.2
소득 수준별,100만원 이상,760,49.7,58.5,13.0,2.9,11.9,40.5,19.9,0.5,0.5,0.4,0.9
소득 수준별,200만원 이상,760,47.2,49.4,15.7,3.2,8.9,45.4,28.0,0.6,0.3,0.6,0.3
소득 수준별,300만원 이상,555,38.9,44.5,13.9,1.9,7.7,44.6,46.7,0.8,0.2,0,0.3
한부모가된 기간별,5년 미만,245,46.2,42.2,19.3,2.5,11.1,40.3,35.1,1.1,0.4,0.3,0.7
한부모가된 기간별,5년 이상,868,45.8,50.0,15.8,2.4,7.4,44.5,32.2,0.5,0.1,0.2,0.4
한부모가된 기간별,10년 이상,1028,47.1,55.1,11.6,3.1,11.3,43.1,25.8,0.6,0.5,0.5,0.6
