특성별,구분,사례수(가구),혼자 있는 시간 O,혼자 있는 시간 X,혼자 있는 가구수,1~3시간,4~6시간,7시간 이상,평균
한부모 연령별,30대 이하,166,47.0,53.0,78,63.0,36.7,0.3,3.1
한부모 연령별,40대,1503,52.2,47.8,785,72.0,26.3,1.7,3.1
한부모 연령별,50대 이상,471,49.8,50.2,235,56.8,37.3,5.8,3.6
한부모 학력별,중졸 이상,91,33.2,66.8,30,61.4,31.2,7.5,3.7
한부모 학력별,고졸 이하,1362,50.3,49.7,685,66.4,31.3,2.3,3.2
한부모 학력별,대학 이상,687,55.7,44.3,383,71.8,25.8,2.4,3.1
혼인 상태별,이혼,1762,51.9,48.1,915,67.6,30.0,2.4,3.2
혼인 상태별,사별,271,53.1,46.9,144,73.8,23.6,2.6,3.0
혼인 상태별,기타,107,36.4,63.6,39,59.6,37.4,3.1,3.3
가구 구성별,모자,1174,59.6,40.4,700,67.3,30.5,2.2,3.2
가구 구성별,모자+기타,264,20.6,79.4,54,73.9,26.1,0,2.9
가구 구성별,부자,473,67.8,32.2,321,69.4,27.5,3.1,3.2
가구 구성별,부자+기타,230,10.0,90.0,23,63.6,29.8,6.6,4.0
가장 어린 자녀별,미취학,23,33.9,66.1,8,67.7,32.3,0,2.9
가장 어린 자녀별,초등학생,260,46.9,53.1,122,77.7,21.6,0.8,2.8
가장 어린 자녀별,중학생 이상,1857,52.1,47.9,968,66.9,30.4,2.7,3.2
종사상 지위별,상용근로자,755,62.1,37.9,469,68.3,29.7,2.0,3.1
종사상 지위별,임시/일용근로자,594,58.4,41.6,347,65.7,31.3,3.1,3.5
종사상 지위별,자영업/무급가족,349,43.2,56.8,151,64.7,31.4,3.9,3.3
종사상 지위별,비취업,443,29.9,70.1,132,77.9,21.2,0.9,2.7
정부 지원 유형별,저소득지원가구,1237,47.8,52.2,591,65.6,31.5,2.9,3.3
정부 지원 유형별,일반가구,904,56.1,43.9,507,71.1,26.9,2.0,3.1
소득 수준별,100만원 미만,66,31.1,68.9,20,77.8,16.5,5.7,3.2
소득 수준별,100만원 이상,760,46.6,53.4,354,64.4,32.4,3.2,3.4
소득 수준별,200만원 이상,760,58.3,41.7,444,66.2,31.6,2.3,3.2
소득 수준별,300만원 이상,555,50.4,49.6,280,75.3,23.1,1.6,2.9
한부모가된 기간별,5년 미만,245,51.7,48.3,126,70.2,25.3,4.5,3.3
한부모가된 기간별,5년 이상,868,55.1,44.9,478,71.3,27.5,1.2,3.0
한부모가된 기간별,10년 이상,1028,48.0,52.0,494,64.6,32.3,3.2,3.3
