특성별,구분,1~3시간,4~6시간,7시간 이상
한부모 연령별,30대 이하,76.8,22,1.2
한부모 연령별,40대,72.4,23.4,4.2
한부모 연령별,50대 이상,71.1,26.1,2.8
한부모 학력별,중졸 이하,89.5,6.4,4.1
한부모 학력별,고졸 이하,65.9,29.7,4.4
한부모 학력별,대학 이상,80.3,18,1.7
혼인 상태별,이혼,73.8,22.8,3.4
혼인 상태별,사별,76.4,22.1,1.5
혼인 상태별,기타,71.4,28.6,0
가구 구성별,모자,73.6,23.9,2.5
가구 구성별,모자+기타,60.4,29.3,10.3
가구 구성별,부자,78.3,20.4,1.3
가구 구성별,부자+기타,56.8,18.9,24.3
가장 어린 자녀별,미취학,89.9,10.1,0
가장 어린 자녀별,초등학생,73.1,23.7,3.2
종사상 지위별,상용근로자,72.8,23.2,4
종사상 지위별,임시/일용근로자,74.7,23.3,2
종사상 지위별,자영업/무급가족,64.3,35.7,0
종사상 지위별,비취업,84.6,10.8,4.6
정부 지원 유형별,저소득지원가구,67.2,28.2,4.5
정부 지원 유형별,일반가구,81.3,17.3,1.4
소득 수준별,100만원 미만,63.5,14.9,21.7
소득 수준별,100 ~ 200만원 미만,69.6,26.2,4.2
소득 수준별,200 ~ 300만원 미만,76.1,21.8,2.1
소득 수준별,300만원 이상,77,21.2,1.8
한부모가된 기간별,5년 미만,77,19.3,3.7
한부모가된 기간별,5 ~ 10년 미만,73.7,23.3,2.9
한부모가된 기간별,10년 이상,69.5,28.1,2.4
