특성별,구분,1~3시간,4~6시간,7시간 이상
한부모 연령별,30대 이하,57.5,39.4,3
한부모 연령별,40대,53.1,20.1,26.8
한부모 연령별,50대 이상,0,0,0
한부모 학력별,중졸 이상,0,0,0
한부모 학력별,고졸 이하,54.1,45.9,0
한부모 학력별,대학 이상,57.5,30.7,11.9
혼인 상태별,이혼,59.9,37.1,3
혼인 상태별,사별,100,0,0
혼인 상태별,기타,15.5,43.3,41.3
가구 구성별,모자,42.9,42.6,14.5
가구 구성별,모자+기타,80,20,0
가구 구성별,부자,65.2,34.8,0
가구 구성별,부자+기타,100,0,0
종사상 지위별,상용근로자,58.1,34.1,7.8
종사상 지위별,임시/일용근로자,50.6,49.4,0
종사상 지위별,자영업/무급가족,57.5,0,42.5
종사상 지위별,비취업,85.8,14.2,0
정부 지원 유형별,저소득지원가구,55.9,30.1,14.1
정부 지원 유형별,일반가구,57,38.8,4.2
소득 수준별,100만원 미만,0,100,0
소득 수준별,100만원 이상,32.3,67.7,0
소득 수준별,200만원 이상,74.9,7.7,17.4
소득 수준별,300만원 이상,54.2,45.8,0
한부모가된 기간별,5년 미만,57.3,38.4,4.4
한부모가된 기간별,5년 이상,55.7,31.1,13.2
한부모가된 기간별,10년 이상,0,0,0
