특성별,구분,사례수(가구),TV/라디오/음악/잡지/책,게임/컴퓨터,형제/친구와 놀기,가사돕기/가족돌봄,쉬거나 잠,숙제 등 공부,학원/과외,프로그램(수련관/복지관 등) 참여,아르바이트,동아리/봉사활동/종교활동 등,기타
한부모 연령별,30대 이하,163,19.2,28.1,18.2,2.2,9,19.6,2.8,0.2,0,0.6,0
한부모 연령별,40대,1494,19.7,29.1,9.5,1.5,7.9,22.1,9,0.4,0.2,0.4,0.2
한부모 연령별,50대 이상,467,25.7,27.2,6.1,1.3,7.4,23.8,8.2,0,0,0,0.4
한부모 학력별,중졸 이하,91,24.1,37.2,5.5,0.4,10.9,16.8,5.1,0,0,0,0
한부모 학력별,고졸 이하,1355,20.9,29.9,10,2,8.5,20.6,7.1,0,0.2,0.5,0.3
한부모 학력별,대학 이상,679,20.7,24.8,8.7,0.7,6.2,26.4,11.3,0.9,0.1,0,0.1
혼인 상태별,이혼,1748,20.6,29,9.2,1.6,8,22.3,8.5,0.3,0.1,0.4,0.1
혼인 상태별,사별,270,21.6,26.3,12.1,1.6,6.5,21.4,8.8,0.1,0.7,0.2,0.7
혼인 상태별,기타,107,25.6,27.1,6.3,0,10,25.2,4.8,0,0.4,0,0.7
가구 구성별,모자,1162,22.2,28.1,10,1.8,9.2,21.5,6.3,0.1,0.1,0.3,0.4
가구 구성별,모자+기타,264,19.3,22.5,12.1,0.9,9.6,22,11.6,0.8,0,1.2,0
가구 구성별,부자,470,22.7,30.6,8.4,1.9,4.6,21,10.4,0,0.4,0,0
가구 구성별,부자+기타,230,12.8,34,5.7,0,6,29.3,11,1.2,0,0,0
가장 어린 자녀별,미취학,23,16.9,17.1,13.9,2.6,5.7,24.8,5.8,0,0,13.2,0
가장 어린 자녀별,초등학생,255,20.8,25.1,17.3,2.8,8.6,20,4.3,0.9,0.2,0,0
가장 어린 자녀별,중학생 이상,1847,21,29.2,8.3,1.3,7.8,22.6,9,0.2,0.2,0.2,0.2
종사상 지위별,상용근로자,752,22.2,29.4,10.3,1.2,4.1,22.1,10.7,0,0.1,0.1,0.1
종사상 지위별,임시/일용근로자,585,21.3,33.2,7.6,2.5,8.5,19.6,5.9,0.1,0.3,0.6,0.4
종사상 지위별,자영업/무급가족,347,15.2,22.6,6.9,1.2,11,28.3,13.3,1.3,0,0,0.2
종사상 지위별,비취업,441,23.1,25.8,12.4,1,11.1,21.5,3.8,0.3,0.3,0.6,0.2
정부 지원 유형별,저소득지원가구,1225,20.2,30.4,10.4,1.7,9.5,20.2,6.5,0.1,0.2,0.5,0.3
정부 지원 유형별,일반가구,900,22,26.1,8.1,1.3,5.7,25.2,10.8,0.6,0.1,0.1,0.1
소득 수준별,100만원 미만,65,33.6,31,9.8,1.6,7.7,13.7,2.5,0,0,0,0
소득 수준별,100 ~ 200만원 미만,751,20.6,32.8,9,1.7,10.4,19.3,4.7,0.2,0.4,0.4,0.5
소득 수준별,200 ~ 300만원 미만,757,21.3,27,10,1.6,6.6,23.1,9.5,0.3,0,0.5,0.1
소득 수준별,300만원 이상,552,19.4,24.7,9.2,1.1,6.3,26.3,12.4,0.5,0.1,0,0.1
한부모가된 기간별,5년 미만,242,18.4,26.4,13.7,1.9,9.9,21.4,7.2,1.1,0,0,0
한부모가된 기간별,5 ~ 10년 미만,863,21.5,27,9.8,1.2,5.6,24.6,9.7,0.3,0,0.2,0.1
한부모가된 기간별,10년 이상,1020,21.2,30.4,8.1,1.7,9.3,20.5,7.5,0.1,0.3,0.5,0.3
