시도청,검거건수,기소_구속,기소_불구속,불기소,가정보호 사건송치,기타,기소율,code
서울,8145,85,2780,4147,2579,102,35.2,11
부산,2519,31,1027,1257,543,51,42.0,26
대구,2302,24,569,1210,927,42,25.8,27
인천,3297,15,650,1389,1822,38,20.2,28
광주,1402,6,516,900,186,12,37.2,29
대전,1651,16,512,731,646,55,32.0,30
울산,1109,7,276,487,451,69,25.5,31
세종,179,0,35,107,57,16,19.6,36
경기남부,12694,102,3018,4246,7633,428,24.6,41
경기북부,3202,23,846,1508,1425,114,27.1,41
강원,1534,31,486,651,541,59,33.7,42
충북,1585,18,482,597,757,32,31.5,43
충남,1710,24,501,698,690,61,30.7,44
전북,1097,14,505,511,226,17,47.3,45
전남,2022,22,720,842,664,46,36.7,46
경북,2483,26,906,1115,722,31,37.5,47
경남,2601,36,934,1019,977,36,37.3,48
제주,745,10,169,177,382,21,24.0,50
