시도청,검거건수,기소_구속,기소_불구속,불기소,가정보호 사건송치,기타,기소율
서울,7460,49,2214,3550,2749,209,30.3
부산,2083,21,770,1022,589,73,38.0
대구,1974,15,557,1039,752,35,29.0
인천,2835,19,639,1184,1514,91,23.2
광주,1126,11,386,696,168,8,35.3
대전,1681,21,481,607,817,41,29.9
울산,853,1,211,414,337,74,24.9
세종,189,2,38,74,83,10,21.2
경기남부,11245,69,2549,3723,6658,530,23.3
경기북부,2812,18,759,1272,1250,94,27.6
강원,1299,6,384,537,485,55,30.0
충북,1275,6,343,490,606,40,27.4
충남,1485,18,455,476,622,91,31.9
전북,1045,11,450,559,225,18,44.1
전남,1730,12,653,761,545,43,38.4
경북,2169,18,810,883,708,36,38.2
경남,2376,20,863,905,861,59,37.2
제주,822,13,208,245,410,8,26.9
