구분별(1),구분별(2),2010,2012,2014,2016,2018,2020,2022
부모의 자녀 기대 교육 수준,고등학교 이하,0.9,0.8,0.6,0.7,0.8,0.5,0.9
부모의 자녀 기대 교육 수준,대학(교)(4년제미만),4.0,5.8,6.4,6.3,5.3,4.1,4.6
부모의 자녀 기대 교육 수준,대학교(4년제이상),60.9,64.1,64.8,69.5,67.5,68.4,66.8
부모의 자녀 기대 교육 수준,대학원(석사),16.3,12.9,14.2,12.2,12.9,15.4,13.9
부모의 자녀 기대 교육 수준,대학원(박사),18.0,16.4,14.1,11.2,13.6,11.7,13.8
부모의 자녀 기대 교육 목적,좋은 직업을 갖게 하기 위해,43.7,48.3,44.3,44.3,42.8,42.1,52.0
부모의 자녀 기대 교육 목적,능력과 소질을 개발하게 하기 위해,10.4,10.2,40.5,40.9,45.7,46.1,39.7
부모의 자녀 기대 교육 목적,부모가 받지 못한 교육을 자녀를 통해 보상받고 싶어서,1.1,1.2,0.3,0.3,0.5,0.5,0.2
부모의 자녀 기대 교육 목적,결혼 친구관계등 사회적 관계를 맺는데 유리하게 하기 위해,11.4,7.7,7.0,7.2,4.2,4.4,3.4
부모의 자녀 기대 교육 목적,인격 교양을 쌓게 하기 위해,32.7,32.5,8.0,6.8,6.8,6.9,4.6
부모의 자녀 기대 교육 목적,기타,0.6,0.1,0,0.6,0,0,0
