region,lon,lat,count,출산지원시설,양육지원시설,생활지원시설,일시지원 복지시설,한부모가족 복지상담소
서울특별시,126.978,37.5665,28,7,9,8,1,3
부산광역시,129.0756,35.1796,9,2,1,6,0,0
대구광역시,128.6018,35.8714,10,1,2,5,1,1
인천광역시,126.7052,37.4563,8,1,3,3,1,0
광주광역시,126.8514,35.1595,6,1,3,2,0,0
대전광역시,127.3845,36.3504,6,1,3,1,1,0
울산광역시,129.3114,35.5394,4,1,1,1,1,0
경기도,127.5183,37.4138,15,4,6,2,1,2
강원도,127.7298,37.8854,3,1,1,1,0,0
충청북도,127.9296,36.6358,5,0,1,2,0,2
충청남도,126.766,36.5184,4,1,1,2,0,0
전라북도,127.1088,35.8204,8,1,1,5,1,0
전라남도,127.5311,34.8161,5,1,2,2,0,0
경상북도,128.6014,36.576,8,1,1,6,0,0
경상남도,128.635,35.2373,6,1,2,2,1,0
제주특별자치도,126.5312,33.4996,4,1,1,0,1,1
