특성별,구분,혼자 있는 시간 O,혼자 있는 시간 X
한부모 연령별,30대 이하,41.3,58.7
한부모 연령별,40대,45.3,54.7
한부모 연령별,50대 이상,35.9,64.1
한부모 학력별,중졸 이하,44.1,55.9
한부모 학력별,고졸 이하,44.6,55.4
한부모 학력별,대학 이상,41.9,58.1
혼인 상태별,이혼,43.7,56.3
혼인 상태별,사별,41.3,58.7
혼인 상태별,기타,39.7,60.3
가구 구성별,모자,52.8,47.2
가구 구성별,모자+기타,10.8,89.2
가구 구성별,부자,55,45
가구 구성별,부자+기타,11.1,88.9
가장 어린 자녀별,미취학,28.9,71.1
가장 어린 자녀별,초등학생,44.3,55.7
종사상 지위별,상용근로자,50.4,49.6
종사상 지위별,임시/일용근로자,55.5,44.5
종사상 지위별,자영업/무급가족,36.5,63.5
종사상 지위별,비취업,19.6,80.4
정부 지원 유형별,저소득지원가구,42.7,57.3
정부 지원 유형별,일반가구,43.8,56.2
소득 수준별,100만원 미만,25.3,74.7
소득 수준별,100 ~ 200만원 미만,39.1,60.9
소득 수준별,200 ~ 300만원 미만,57,43
소득 수준별,300만원 이상,31.8,68.2
한부모가된 기간별,5년 미만,41.2,58.8
한부모가된 기간별,5 ~ 10년 미만,45.8,54.2
한부모가된 기간별,10년 이상,38.5,61.5
