특성별,구분,혼자 있는 시간 O,혼자 있는 시간 X
한부모 연령별,30대 이하,47,53
한부모 연령별,40대,52.2,47.8
한부모 연령별,50대 이상,49.8,50.2
한부모 학력별,중졸 이하,33.2,66.8
한부모 학력별,고졸 이하,50.3,49.7
한부모 학력별,대학 이상,55.7,44.3
혼인 상태별,이혼,51.9,48.1
혼인 상태별,사별,53.1,46.9
혼인 상태별,기타,36.4,63.6
가구 구성별,모자,59.6,40.4
가구 구성별,모자+기타,20.6,79.4
가구 구성별,부자,67.8,32.2
가구 구성별,부자+기타,10,90
가장 어린 자녀별,미취학,33.9,66.1
가장 어린 자녀별,초등학생,46.9,53.1
가장 어린 자녀별,중학생 이상,52.1,47.9
종사상 지위별,상용근로자,62.1,37.9
종사상 지위별,임시/일용근로자,58.4,41.6
종사상 지위별,자영업/무급가족,43.2,56.8
종사상 지위별,비취업,29.9,70.1
정부 지원 유형별,저소득지원가구,47.8,52.2
정부 지원 유형별,일반가구,56.1,43.9
소득 수준별,100만원 미만,31.1,68.9
소득 수준별,100 ~ 200만원 미만,46.6,53.4
소득 수준별,200 ~ 300만원 미만,58.3,41.7
소득 수준별,300만원 이상,50.4,49.6
한부모가된 기간별,5년 미만,51.7,48.3
한부모가된 기간별,5 ~ 10년 미만,55.1,44.9
한부모가된 기간별,10년 이상,48,52
