특성별,구분,2021,2018,1~3시간,4~6시간,7시간 이상,평균
한부모 연령별,30대 이하,47,56.8,63,36.7,0.3,3.1
한부모 연령별,40대,52.2,56.7,72,26.3,1.7,3.1
한부모 연령별,50대 이상,49.8,47.3,56.8,37.3,5.8,3.6
한부모 학력별,중졸 이하,33.2,53.9,61.4,31.2,7.5,3.7
한부모 학력별,고졸 이하,50.3,53.5,66.4,31.3,2.3,3.2
한부모 학력별,대학 이상,55.7,56.3,71.8,25.8,2.4,3.1
혼인 상태별,이혼,51.9,54.8,67.6,30,2.4,3.2
혼인 상태별,사별,53.1,50.5,73.8,23.6,2.6,3
혼인 상태별,기타,36.4,60.6,59.6,37.4,3.1,3.3
가구 구성별,모자,59.6,60.7,67.3,30.5,2.2,3.2
가구 구성별,모자+기타,20.6,22.3,73.9,26.1,0,2.9
가구 구성별,부자,67.8,66.0,69.4,27.5,3.1,3.2
가구 구성별,부자+기타,10,18.5,63.6,29.8,6.6,4
가장 어린 자녀별,미취학,33.9,45.7,67.7,32.3,0,2.9
가장 어린 자녀별,초등학생,46.9,57.7,77.7,21.6,0.8,2.8
가장 어린 자녀별,중학생 이상,52.1,54.0,66.9,30.4,2.7,3.2
종사상 지위별,상용근로자,62.1,59.9,68.3,29.7,2,3.1
종사상 지위별,임시/일용근로자,58.4,54.9,65.7,31.3,3.1,3.5
종사상 지위별,자영업/무급가족,43.2,55.4,64.7,31.4,3.9,3.3
종사상 지위별,비취업,29.9,36.6,77.9,21.2,0.9,2.7
정부 지원 유형별,저소득지원가구,47.8,49.7,65.6,31.5,2.9,3.3
정부 지원 유형별,일반가구,56.1,58.6,71.1,26.9,2,3.1
소득 수준별,100만원 미만,31.1,44.9,77.8,16.5,5.7,3.2
소득 수준별,~ 200만원 미만,46.6,51.8,64.4,32.4,3.2,3.4
소득 수준별,~ 300만원 미만,58.3,60.3,66.2,31.6,2.3,3.2
소득 수준별,300만원 이상,50.4,54.8,75.3,23.1,1.6,2.9
한부모가된 기간별,5년 미만,51.7,62.4,70.2,25.3,4.5,3.3
한부모가된 기간별,5 ~ 10년 미만,55.1,55.7,71.3,27.5,1.2,3
한부모가된 기간별,10년 이상,48,48.9,64.6,32.3,3.2,3.3
