characteristic,year,help_exp_no,help_exp_yes
고1,2016,10.6,89.4
고1,2018,9.1,90.9
고1,2020,29.1,70.9
고1,2022,28.4,71.6
고2,2016,13.0,87.0
고2,2018,6.8,93.2
고2,2020,24.7,75.3
고2,2022,22.6,77.4
고3,2016,12.0,88.0
고3,2018,9.2,90.8
고3,2020,11.7,88.3
고3,2022,35.4,64.6
중1,2016,14.8,85.2
중1,2018,15.7,84.3
중1,2020,17.2,82.8
중1,2022,22.8,77.2
중2,2016,15.1,84.9
중2,2018,18.0,82.0
중2,2020,30.0,70.0
중2,2022,19.8,80.2
중3,2016,10.8,89.2
중3,2018,18.7,81.3
중3,2020,16.9,83.1
중3,2022,17.8,82.2
초4,2016,18.7,81.3
초4,2018,19.2,80.8
초4,2020,18.4,81.6
초4,2022,19.2,80.8
초5,2016,16.6,83.4
초5,2018,20.4,79.6
초5,2020,20.4,79.6
초5,2022,15.7,84.3
초6,2016,15.5,84.5
초6,2018,12.6,87.4
초6,2020,16.4,83.6
초6,2022,18.4,81.6
