year,chracteristic,help_admin,help_admin_hospital,help_admin_psycho,help_admin_bully,help_admin_child,help_admin_etc
2016,man,71.4,19.2,17.4,0,6.3,2.3
2016,woman,81.3,9,24.4,0,9.3,5.7
2016,elimentry,72,12.7,13.7,0,6.9,7.3
2016,middle,78.5,11.7,25.4,0,9.7,0
2016,high,78,21.5,25.3,0,6.4,2.3
2016,eil_4,61.4,18.4,15.7,0,10.3,11.4
2016,eli_5,81.1,11,11.4,0,7.4,4.1
2016,eli_6,75.5,5.3,13.7,0,0,5.5
2016,middle_1,89.4,17.8,23.5,0,6.7,0
2016,middle_2,77.7,0,32.2,0,10.7,0
2016,middle_3,61.3,22.3,16.4,0,13.1,0
2016,high_1,93.8,4,34.4,0,4.4,0
2016,high_2,74.5,31.3,22.3,0,8.2,0
2016,high_3,62.1,29.8,17.8,0,6,9.3
2016,man_school,79.3,15.5,16.6,0,9.8,0
2016,woman_school,67.6,39.3,32.4,0,13.8,0
2016,coedu_school,75.7,12.9,20.1,0,6.8,4.6
2018,man,72,9.8,15,0,2.9,8.4
2018,woman,90,7.3,15.6,0,2.8,1.6
2018,elimentry,80.4,5.4,10.4,0,1.9,7.8
2018,middle,85.7,6.4,15.3,0,2.6,3.2
2018,high,75.8,21.4,28.4,0,5.9,0
2018,eil_4,68.4,6.4,12.9,0,4.8,18
2018,eli_5,90.7,2.8,7.5,0,0,1.5
2018,eli_6,85.3,7.9,10.8,0,0,0
2018,middle_1,78.8,4.5,13.7,0,7.8,5
2018,middle_2,95.6,7.6,10.7,0,0,0
2018,middle_3,81,7.1,23.1,0,0,5.3
2018,high_1,74.9,10.5,28.1,0,4.5,0
2018,high_2,71.7,28.1,44.4,0,8.8,0
2018,high_3,79.7,23,14.9,0,4.3,0
2018,man_school,42.2,0,24.7,0,0,33.1
2018,woman_school,94.7,13.6,26.6,0,0,0
2018,coedu_school,83,8.5,14.3,0,3.1,3.6
2022,man,77.7,15.9,14.1,11.7,6.2,0
2022,woman,72.3,13.7,25.5,3,5,1.3
2022,elimentry,68,18.6,18,12.6,2.7,1.4
2022,middle,78.7,8.5,24,2.4,12.6,0
2022,high,89,15.4,17.8,0,0,0
2022,eil_4,73.3,23.2,7.4,16.3,2.5,0
2022,eli_5,58.9,20,18.9,16.9,2.6,4.1
2022,eli_6,71.7,11.7,29.8,3.6,3.1,0
2022,middle_1,79.1,11.9,18.5,2.6,12.4,0
2022,middle_2,86.6,4,16.4,0,6,0
2022,middle_3,63.4,6.3,54.8,6.3,24.9,0
2022,high_1,70.3,9,20.7,0,0,0
2022,high_2,100,18,16.5,0,0,0
2022,high_3,100,20.5,15.7,0,0,0
2020,man,60.8,21.8,18.4,16.6,0,0
2020,woman,86,9.7,22,7.1,4.2,0
2020,man_school,62.3,0,0,37.7,0,0
2020,woman_school,92.2,0,26.1,0,7.8,0
2020,coedu_school,72.8,17.8,20.6,11.5,1.7,0
2020,elimentry,63,19.2,17.6,12.7,0,0
2020,middle,83.8,12,23.4,11.2,6.7,0
2020,high,85.5,11.7,21.6,8.8,0,0
2020,eil_4,54.2,19.8,15.8,21.1,0,0
2020,eli_5,75.2,18.5,5.2,9.8,0,0
2020,eli_6,57.7,19.2,37.4,5.6,0,0
2020,middle_1,82.7,14.2,32.1,19.4,0,0
2020,middle_2,76.4,12.3,26.2,12.4,13.7,0
2020,middle_3,100,9,8.4,0,0,0
2020,high_1,78,7.9,13.5,11.7,0,0
2020,high_2,100,0,36.5,0,0,0
2020,high_3,79.5,36.3,15.8,15.8,0,0
2022,man_school,92.2,5.2,5.2,7.8,0,0
2022,woman_school,100,32.2,18.3,0,0,0
2022,coedu_school,72.7,14.9,21.2,7.4,6.2,0.8
