year,chracteristic,help_admin,help_admin_hospital,help_admin_psycho,help_admin_bully,help_admin_child,help_admin_etc
2022,남자,77.7,15.9,14.1,11.7,6.2,0
2022,여자,72.3,13.7,25.5,3,5,1.3
2022,초등학교,68,18.6,18,12.6,2.7,1.4
2022,중학교,78.7,8.5,24,2.4,12.6,0
2022,고등학교,89,15.4,17.8,0,0,0
2022,초4,73.3,23.2,7.4,16.3,2.5,0
2022,초5,58.9,20,18.9,16.9,2.6,4.1
2022,초6,71.7,11.7,29.8,3.6,3.1,0
2022,중1,79.1,11.9,18.5,2.6,12.4,0
2022,중2,86.6,4,16.4,0,6,0
2022,중3,63.4,6.3,54.8,6.3,24.9,0
2022,고1,70.3,9,20.7,0,0,0
2022,고2,100,18,16.5,0,0,0
2022,고3,100,20.5,15.7,0,0,0
2022,남학교,92.2,5.2,5.2,7.8,0,0
2022,여학교,100,32.2,18.3,0,0,0
2022,남녀공학,72.7,14.9,21.2,7.4,6.2,0.8
